,Proclitic,Ortografía manipulada,verbo conjugado,mandato negativo,infinitivo (clitic climbing),Gerundio (clitic climbing),mandato afirmativo,,,,,,,,,la habrás olvidado
1860,,,se le empañaraon,,,,,,,,,,,,,te pasa
1861,,,se le encendió,,,,,,,,,,,,,te pasa
1862,,,se le enmudeció,,,,,,,,,,,,,te pasa
1863,,,se le escapó,,,,,,,,,,,,,te pasa
1864,,,se le figura,,,,,,,,,,,,,te pasa
1865,,,se le fué,,,,,,,,,,,,,te pasa
1866,,,se le fuera,,,,,,,,,,,,,te pasa
1867,,,se le ha metido,,,,,,,,,,,,,te persigue
1868,,,se le había asomado,,,,,,,,,,,,,te pido
1869,,,se le había metido,,,,,,,,,,,,,te pones
1870,,,Se le había olvidado,,,,,,,,,,,,,te pones
1871,,,se le habrían ocurrido,,,,,,,,,,,,,te propones
1872,,,se le hacen,,,,,,,,,,,,,te queda
1873,,,se le hacía,,,,,,,,,,,,,te queda
1874,,,se le hacía,,,,,,,,,,,,,te quedan
1875,,,se le he regalado,,,,,,,,,,,,,te quedas
1876,,,se le iba,,,,,,,,,,,,,te quiere
1877,,,se le iba,,,,,,,,,,,,,te quiero
1878,,,se le llama,,,,,,,,,,,,,te quiero engañar
1879,,,se le llame,,,,,,,,,,,,,te repito
1880,,,se le ocurre,,,,,,,,,,,,,te resistes
1881,,,se le ocurre,,,,,,,,,,,,,te ruego
1882,,,se le ocurren,,,,,,,,,,,,,te ruego
1883,,,se le ocurrieron,,,,,,,,,,,,,te separan
1884,,,se le ocurrió,,,,,,,,,,,,,te soy
1885,,,Se le ofrece,,,,,,,,,,,,,te veo
1886,,,se le pasará,,,,,,,,,,,,,te vuelvo
1887,,,se le pasea,,,,,,,,,,,,,la apretaba
1888,,,se le perdía,,,,,,,,,,,,,la cazaba
1889,,,se le pone,,,,,,,,,,,,,la quería
1890,,,se le prende,,,,,,,,,,,,,la quería
1891,,,se le puede,,,,,,,,,,,,,las tenía
1892,,,se le quebró,,,,,,,,,,,,,le acariciaba
1893,,,se le quedó,,,,,,,,,,,,,le acariciaba
1894,,,se le quedó,,,,,,,,,,,,,le agitaba
1895,,,se le quemó,,,,,,,,,,,,,le animaba
1896,,,se le replegaba,,,,,,,,,,,,,le apechugaba
1897,,,se le resistía,,,,,,,,,,,,,le ardía
1898,,,se le revela,,,,,,,,,,,,,le arrastraba
1899,,,se le trajera,,,,,,,,,,,,,le atormentaba
1900,,,se le viene,,,,,,,,,,,,,le atraía
1901,,,se le viera,,,,,,,,,,,,,le bautizaba
1902,,,se lee,,,,,,,,,,,,,le causaba
1903,,,se leen,,,,,,,,,,,,,le conocía
1904,,,se les antoje,,,,,,,,,,,,,le creía
1905,,,se les cae,,,,,,,,,,,,,le cubría
1906,,,se les da,,,,,,,,,,,,,le decía
1907,,,se les iba,,,,,,,,,,,,,le decía
1908,,,se les merme,,,,,,,,,,,,,le decía
1909,,,se les muera,,,,,,,,,,,,,le decía
1910,,,Se levantó,,,,,,,,,,,,,le decía
1911,,,Se levantó,,,,,,,,,,,,,le decía
1912,,,se levantó,,,,,,,,,,,,,le decía
1913,,,se levantó,,,,,,,,,,,,,le decía
1914,,,se levantó,,,,,,,,,,,,,le decía
1915,,,se levantó,,,,,,,,,,,,,le decía
1916,,,se levantó,,,,,,,,,,,,,le decía
1917,,,se levantó,,,,,,,,,,,,,le decía
1918,,,se levantó,,,,,,,,,,,,,le dejaba
1919,,,se lía,,,,,,,,,,,,,le dejaba
1920,,,se llama,,,,,,,,,,,,,le dejaba
1921,,,se llama,,,,,,,,,,,,,le descubríamos
1922,,,se llama,,,,,,,,,,,,,le echaba
1923,,,se llama,,,,,,,,,,,,,le entendía
1924,,,se llama,,,,,,,,,,,,,le entendía
1925,,,se llama,,,,,,,,,,,,,le era
1926,,,se llama,,,,,,,,,,,,,le era
1927,,,se llama,,,,,,,,,,,,,le esperaba
1928,,,se llama,,,,,,,,,,,,,le esperaba
1929,,,se llaman,,,,,,,,,,,,,le esperaba
1930,,,se llame,,,,,,,,,,,,,le esperaba
1931,,,se llamó,,,,,,,,,,,,,le esperaba
1932,,,se lleva,,,,,,,,,,,,,le esperábamos
1933,,,se lleva,,,,,,,,,,,,,le estaba
1934,,,se lleva,,,,,,,,,,,,,le estimaba
1935,,,se lleva,,,,,,,,,,,,,le estorbas
1936,,,se lleva,,,,,,,,,,,,,le fulguraban
1937,,,se llevaron,,,,,,,,,,,,,le gustaba
1938,,,se llevó,,,,,,,,,,,,,le gustaba
1939,,,se lo aseguro,,,,,,,,,,,,,le hablaba
1940,,,se lo bebió,,,,,,,,,,,,,le hacía
1941,,,se lo contó,,,,,,,,,,,,,le hacía
1942,,,se lo demostré,,,,,,,,,,,,,le hacían caso
1943,,,se lo diga,,,,,,,,,,,,,le lamía
1944,,,se lo digo,,,,,,,,,,,,,le leía
1945,,,se lo digo,,,,,,,,,,,,,le llevaba
1946,,,se lo dije,,,,,,,,,,,,,le lloraba
1947,,,se lo dije,,,,,,,,,,,,,le lloraba
1948,,,se lo doy,,,,,,,,,,,,,le martillaba
1949,,,se lo han dicho,,,,,,,,,,,,,le miraba
1950,,,se lo has oído,,,,,,,,,,,,,le miraba
1951,,,se lo juro,,,,,,,,,,,,,le miraba
1952,,,se lo leyó,,,,,,,,,,,,,le miraban
1953,,,se lo oímos,,,,,,,,,,,,,le miraban
1954,,,se lo pagó,,,,,,,,,,,,,le ocurría
1955,,,se lo pasaba,,,,,,,,,,,,,le parecía
1956,,,se lo pregunté,,,,,,,,,,,,,le parecía
1957,,,se lo trajo,,,,,,,,,,,,,le parecían
1958,,,se los hubo leído,,,,,,,,,,,,,le pasaba
1959,,,se mantenía,,,,,,,,,,,,,le pasaba
1960,,,se mantuvo,,,,,,,,,,,,,le pasaba
1961,,,se matan,,,,,,,,,,,,,le ponderaban
1962,,,se mató,,,,,,,,,,,,,le preguntaba
1963,,,se me acerque,,,,,,,,,,,,,le preguntaba
1964,,,se me antoja,,,,,,,,,,,,,le quedaban
1965,,,se me antoja,,,,,,,,,,,,,le quería
1966,,,se me antoja,,,,,,,,,,,,,le quería
1967,,,se me antoja,,,,,,,,,,,,,le recomendaba
1968,,,se me antoja,,,,,,,,,,,,,le recorría
1969,,,se me apareció,,,,,,,,,,,,,le servía
1970,,,se me confunden,,,,,,,,,,,,,le solía
1971,,,se me deje,,,,,,,,,,,,,le subía
1972,,,se me enciende,,,,,,,,,,,,,le temblaba
1973,,,se me entregaba,,,,,,,,,,,,,le tenía
1974,,,se me ha muerto,,,,,,,,,,,,,le tenía
1975,,,se me ha ocurrido,,,,,,,,,,,,,le tenía
1976,,,se me ha ocurrido,,,,,,,,,,,,,le tiraba
1977,,,se me había olvidado,,,,,,,,,,,,,le tomaba
1978,,,se me han abierto,,,,,,,,,,,,,les daban
1979,,,se me helaba,,,,,,,,,,,,,les daban
1980,,,se me lleva,,,,,,,,,,,,,les estorbaba
1981,,,se me moría,,,,,,,,,,,,,les unía
1982,,,se me muera,,,,,,,,,,,,,lo adivinaba
1983,,,se me muere,,,,,,,,,,,,,lo conocía
1984,,,se me negará,,,,,,,,,,,,,lo cubrían
1985,,,se me oculta,,,,,,,,,,,,,lo hacía
1986,,,se me ocurra,,,,,,,,,,,,,lo hacía
1987,,,se me ocurre,,,,,,,,,,,,,lo intentaban
1988,,,se me ocurrió,,,,,,,,,,,,,lo sabía
1989,,,se me ocurrió,,,,,,,,,,,,,Lo sabía
1990,,,se me olvida,,,,,,,,,,,,,lo sabía
1991,,,se me olvide,,,,,,,,,,,,,lo sabía
1992,,,se me pasará,,,,,,,,,,,,,lo sabías
1993,,,se me persigue,,,,,,,,,,,,,lo sentía
1994,,,se me puso,,,,,,,,,,,,,lo tocaba
1995,,,se me va,,,,,,,,,,,,,los exponía
1996,,,se me va a convertir,,,,,,,,,,,,,me acariciaba
1997,,,se me va a desmayar,,,,,,,,,,,,,me atraía
1998,,,se merece,,,,,,,,,,,,,me avenía
1999,,,se mete,,,,,,,,,,,,,me buscaba
2000,,,se mezclen,,,,,,,,,,,,,me cabía 
2001,,,se miente,,,,,,,,,,,,,me conocía
2002,,,se miró,,,,,,,,,,,,,me contaba
2003,,,se moría,,,,,,,,,,,,,me creía
2004,,,se moría,,,,,,,,,,,,,me culpaba
2005,,,se moría,,,,,,,,,,,,,me daba
2006,,,se morirá,,,,,,,,,,,,,me daba
2007,,,se morirá,,,,,,,,,,,,,me debía
2008,,,se morirá,,,,,,,,,,,,,me decía
2009,,,se morirá,,,,,,,,,,,,,me decía
2010,,,se morirá,,,,,,,,,,,,,me decía
2011,,,se morirá,,,,,,,,,,,,,me decía
2012,,,se morirá,,,,,,,,,,,,,me decía
2013,,,se morirá,,,,,,,,,,,,,me decía
2014,,,se morirá,,,,,,,,,,,,,me decía
2015,,,se morirá,,,,,,,,,,,,,me decía
2016,,,se morirá,,,,,,,,,,,,,me decía
2017,,,se morirá,,,,,,,,,,,,,me dolía
2018,,,se morirá,,,,,,,,,,,,,me esperaba
2019,,,se morirá,,,,,,,,,,,,,me hablaba
2020,,,se morirá,,,,,,,,,,,,,me hablaba
2021,,,se morirán,,,,,,,,,,,,,me hablaba
2022,,,se morirán,,,,,,,,,,,,,me hablaba
2023,,,se muera,,,,,,,,,,,,,me hablaba
2024,,,se muera,,,,,,,,,,,,,me hacía
2025,,,se muere,,,,,,,,,,,,,me hacía
2026,,,se muere,,,,,,,,,,,,,me lanzaba
2027,,,se muere,,,,,,,,,,,,,me llamaba
2028,,,se muere,,,,,,,,,,,,,me lo sabía
2029,,,se muere,,,,,,,,,,,,,me lo suponía
2030,,,se muere,,,,,,,,,,,,,me moría
2031,,,se mueren,,,,,,,,,,,,,me parecía
2032,,,se mueven,,,,,,,,,,,,,me preguntaba
2033,,,se murió,,,,,,,,,,,,,me quería
2034,,,se murió,,,,,,,,,,,,,me resignaba
2035,,,se negó,,,,,,,,,,,,,me sonreía
2036,,,se nos adelante,,,,,,,,,,,,,me suponía
2037,,,se nos debe dejar,,,,,,,,,,,,,me tenía
2038,,,se nos había metido,,,,,,,,,,,,,me veía
2039,,,se nos han presentado,,,,,,,,,,,,,me veían
2040,,,se nos irán,,,,,,,,,,,,,me veían
2041,,,se nos moría,,,,,,,,,,,,,nos daba
2042,,,se nos viene,,,,,,,,,,,,,nos deslizábamos
2043,,,se observan,,,,,,,,,,,,,nos iba
2044,,,se obstinaba,,,,,,,,,,,,,nos sentíamos
2045,,,se ofenderá,,,,,,,,,,,,,se acercaba
2046,,,se oía,,,,,,,,,,,,,se acordaba
2047,,,se olvida,,,,,,,,,,,,,se acordaba
2048,,,se opone,,,,,,,,,,,,,se acordaba
2049,,,se os debe,,,,,,,,,,,,,se acostaba
2050,,,se os figuraba,,,,,,,,,,,,,se arreglaba
2051,,,se os iba,,,,,,,,,,,,,se burlaba
2052,,,se os morirán,,,,,,,,,,,,,se compadecían
2053,,,se os ocurría,,,,,,,,,,,,,se confundían
2054,,,se os pregunta,,,,,,,,,,,,,se decía
2055,,,se oyese,,,,,,,,,,,,,se decía
2056,,,se oyó,,,,,,,,,,,,,se decía
2057,,,se oyó,,,,,,,,,,,,,se decía
2058,,,se oyó,,,,,,,,,,,,,se decía
2059,,,se palpó,,,,,,,,,,,,,se decía
2060,,,se parece,,,,,,,,,,,,,se decía
2061,,,se parecen,,,,,,,,,,,,,se decía
2062,,,se partió,,,,,,,,,,,,,se decía
2063,,,se pasean,,,,,,,,,,,,,se decía
2064,,,se pellizcó,,,,,,,,,,,,,se decía
2065,,,se perdería,,,,,,,,,,,,,se decía
2066,,,se perdería,,,,,,,,,,,,,se decía
2067,,,se perfume,,,,,,,,,,,,,se decía
2068,,,se piensa,,,,,,,,,,,,,se decía
2069,,,se piensa ,,,,,,,,,,,,,se decía
2070,,,se pierde,,,,,,,,,,,,,se decía
2071,,,se podría,,,,,,,,,,,,,se decía
2072,,,se pone,,,,,,,,,,,,,se decía
2073,,,se pone,,,,,,,,,,,,,se dedicaba
2074,,,se pone,,,,,,,,,,,,,se dedicaba
2075,,,se pone,,,,,,,,,,,,,se dedicaba
2076,,,se ponía,,,,,,,,,,,,,se dedicaba
2077,,,se preciptió,,,,,,,,,,,,,se dejaba
2078,,,se pregunta,,,,,,,,,,,,,se dejaba
2079,,,se pregunta,,,,,,,,,,,,,se derramaba
2080,,,se preguntó,,,,,,,,,,,,,se desmoronaban
2081,,,se publicaran,,,,,,,,,,,,,se despertaban
2082,,,se publicaran,,,,,,,,,,,,,se distinguían
2083,,,se pueda,,,,,,,,,,,,,se encontraba
2084,,,se puede,,,,,,,,,,,,,se enfriaba
2085,,,se puede,,,,,,,,,,,,,se enjugaba
2086,,,se puede,,,,,,,,,,,,,se enjugaba
2087,,,se puede hacer,,,,,,,,,,,,,se enteran
2088,,,se puede hacer,,,,,,,,,,,,,se estaba
2089,,,se puede tolerar,,,,,,,,,,,,,se exitaba
2090,,,se purifica,,,,,,,,,,,,,se fijaban
2091,,,se puso,,,,,,,,,,,,,se hacía
2092,,,se puso,,,,,,,,,,,,,se hacía
2093,,,se puso,,,,,,,,,,,,,se hallaba
2094,,,se puso,,,,,,,,,,,,,se iba
2095,,,se puso,,,,,,,,,,,,,se inmovilizaban
2096,,,se puso,,,,,,,,,,,,,se la entendía
2097,,,se queda,,,,,,,,,,,,,se las tenía
2098,,,se queda,,,,,,,,,,,,,se le alteraba
2099,,,se queda ,,,,,,,,,,,,,se le cerraban
2100,,,se quedaba,,,,,,,,,,,,,se le derretía
2101,,,se quedaba,,,,,,,,,,,,,se le hacía
2102,,,se quedan,,,,,,,,,,,,,se le hacía
2103,,,se quedará,,,,,,,,,,,,,se le iba
2104,,,se quede,,,,,,,,,,,,,se le iba
2105,,,se quede,,,,,,,,,,,,,se le perdía
2106,,,se queden,,,,,,,,,,,,,se le replegaba
2107,,,se quedó,,,,,,,,,,,,,se le resistía
2108,,,se quedó,,,,,,,,,,,,,se les iba
2109,,,Se quedó,,,,,,,,,,,,,se lo pasaba
2110,,,se quedó,,,,,,,,,,,,,se mantenía
2111,,,se quedó,,,,,,,,,,,,,se me entregaba
2112,,,se quedó,,,,,,,,,,,,,se me helaba
2113,,,se quedó,,,,,,,,,,,,,se me moría
2114,,,se quedó,,,,,,,,,,,,,se me muere
2115,,,se quedó,,,,,,,,,,,,,se moría
2116,,,se quedó,,,,,,,,,,,,,se moría
2117,,,se quedó,,,,,,,,,,,,,se moría
2118,,,se quedó,,,,,,,,,,,,,se nos moría
2119,,,se quedó,,,,,,,,,,,,,se obstinaba
2120,,,se quiere,,,,,,,,,,,,,se oía
2121,,,se quiere,,,,,,,,,,,,,se os figuraba
2122,,,se quiere,,,,,,,,,,,,,se os iba
2123,,,se quitó,,,,,,,,,,,,,se os ocurría
2124,,,se quitó,,,,,,,,,,,,,se ponía
2125,,,se recibió,,,,,,,,,,,,,se quedaba
2126,,,se recrea,,,,,,,,,,,,,se quedaba
2127,,,se rectifican,,,,,,,,,,,,,se reía
2128,,,se reducen,,,,,,,,,,,,,se sabía
2129,,,se reduzca,,,,,,,,,,,,,se sentía
2130,,,se reía,,,,,,,,,,,,,se sentía
2131,,,se reiría,,,,,,,,,,,,,se sentía
2132,,,se relata,,,,,,,,,,,,,se sentía
2133,,,se reparte,,,,,,,,,,,,,se tenía
2134,,,se repuso,,,,,,,,,,,,,se veía
2135,,,se repuso,,,,,,,,,,,,,te decía
2136,,,se repuso,,,,,,,,,,,,,te esperaba
2137,,,se reserva,,,,,,,,,,,,,te lo decía
2138,,,se resigna,,,,,,,,,,,,,te lo decía
2139,,,se resigna,,,,,,,,,,,,,te lo regalaba
2140,,,se resignará,,,,,,,,,,,,,te quería
2141,,,se resuelva,,,,,,,,,,,,,la ha conquistado
2142,,,se resuelve,,,,,,,,,,,,,la he criado
2143,,,se retiró,,,,,,,,,,,,,la he estado mintiendo
2144,,,se revela,,,,,,,,,,,,,la he molestado
2145,,,se ríe,,,,,,,,,,,,,la he perdido
2146,,,se rozan,,,,,,,,,,,,,la he vuelto
2147,,,se sabe,,,,,,,,,,,,,las ha empleado
2148,,,se sabe,,,,,,,,,,,,,las he seguido
2149,,,se sabe,,,,,,,,,,,,,le ha dicho
2150,,,se salió,,,,,,,,,,,,,le ha dicho
2165,,,se sabe,,,,,,,,,,,,,le ha entendido
2151,,,se sabe,,,,,,,,,,,,,le ha hecho
2152,,,se sabía,,,,,,,,,,,,,le ha hecho
2153,,,se sacrifique,,,,,,,,,,,,,le ha hecho
2154,,,se sacudió,,,,,,,,,,,,,le ha hecho
2155,,,se salió,,,,,,,,,,,,,le ha llevado
2156,,,se salió,,,,,,,,,,,,,le ha puesto
2157,,,se salió,,,,,,,,,,,,,le ha puesto
2158,,,se salió,,,,,,,,,,,,,le ha sacado
2159,,,se salió,,,,,,,,,,,,,le ha servido
2160,,,se salió,,,,,,,,,,,,,le ha traído
2161,,,se salió,,,,,,,,,,,,,le ha visto
2162,,,se salió,,,,,,,,,,,,,le han dado
2163,,,se salió,,,,,,,,,,,,,le han dado
2164,,,se salió,,,,,,,,,,,,,le han engañado
2167,,,se sabrá,,,,,,,,,,,,,le han engañado
2168,,,se siente,,,,,,,,,,,,,le han engañado
2169,,,se sentara,,,,,,,,,,,,,le han hecho
2170,,,se sentara,,,,,,,,,,,,,le has dicho
2171,,,se sentía,,,,,,,,,,,,,le he dicho
2172,,,se sentía,,,,,,,,,,,,,le he oído
2173,,,se sentía,,,,,,,,,,,,,le he oído
2174,,,se sentía,,,,,,,,,,,,,le he oído
2175,,,se sentó,,,,,,,,,,,,,le he oído
2176,,,se sentó,,,,,,,,,,,,,les ha dicho
2177,,,se sentó,,,,,,,,,,,,,les he dado
2178,,,se sentó,,,,,,,,,,,,,les he de hacer
2179,,,se sentó,,,,,,,,,,,,,les he hecho
2180,,,se sepa,,,,,,,,,,,,,les he oído
2181,,,se sepa,,,,,,,,,,,,,lo ha comprado
2182,,,se salió,,,,,,,,,,,,,lo ha dicho
2166,,,se separan,,,,,,,,,,,,,lo ha dicho
2183,,,se separaron,,,,,,,,,,,,,lo ha engañado
2184,,,se separó,,,,,,,,,,,,,lo ha estado
2185,,,se siente,,,,,,,,,,,,,lo ha extraído
2186,,,se siente,,,,,,,,,,,,,lo ha hecho
2187,,,se siente,,,,,,,,,,,,,lo ha visto
2188,,,se siente,,,,,,,,,,,,,lo han dejado
2189,,,se siente,,,,,,,,,,,,,lo has dicho
2190,,,se siente ,,,,,,,,,,,,,lo has dicho
2191,,,se siente ,,,,,,,,,,,,,lo has dicho
2192,,,se siguió,,,,,,,,,,,,,lo has suscitado
2193,,,se siguió,,,,,,,,,,,,,lo he
2194,,,se sintiera,,,,,,,,,,,,,lo he comprado
2195,,,se sintió,,,,,,,,,,,,,lo he encontrado
2196,,,se sintió,,,,,,,,,,,,,lo he oído
2197,,,se sintió,,,,,,,,,,,,,me ha bajado
2198,,,se sorprendió,,,,,,,,,,,,,me ha cegado
2199,,,se sublevaron,,,,,,,,,,,,,me ha conquistado
2200,,,se sueña,,,,,,,,,,,,,me ha cortado
2201,,,se sueña,,,,,,,,,,,,,me ha costado
2202,,,se suicide,,,,,,,,,,,,,me ha dado
2203,,,se suicidó,,,,,,,,,,,,,me ha declarado
2204,,,se suicidó,,,,,,,,,,,,,me ha despertado
2205,,,se suicidó,,,,,,,,,,,,,me ha dicho
2206,,,se suicidó,,,,,,,,,,,,,me ha dicho
2207,,,se tanteó,,,,,,,,,,,,,me ha dicho
2208,,,se te ha dirigido,,,,,,,,,,,,,me ha enseñado
2209,,,se te ha ido,,,,,,,,,,,,,me ha entrado
2210,,,se te ha ocurrido,,,,,,,,,,,,,me ha estado
2211,,,se te ha pasado,,,,,,,,,,,,,me ha fingido
2212,,,se te habrá,,,,,,,,,,,,,me ha hecho
2213,,,se te ocurren,,,,,,,,,,,,,me ha hecho
2214,,,se te pase,,,,,,,,,,,,,me ha matado
2215,,,se te presenta,,,,,,,,,,,,,me ha parecido
2216,,,se te presenta,,,,,,,,,,,,,me ha pasado
2217,,,se te sirve,,,,,,,,,,,,,me ha pasado
2218,,,se teje,,,,,,,,,,,,,me ha producirdo
2219,,,se tenía,,,,,,,,,,,,,me ha salido
2220,,,se tiene,,,,,,,,,,,,,me ha soñado
2221,,,se tiene,,,,,,,,,,,,,me ha visto
2222,,,se tiene,,,,,,,,,,,,,me ha vuelto
2223,,,se titulará,,,,,,,,,,,,,me han dado
2224,,,se trata,,,,,,,,,,,,,me han engañado
2225,,,se trata,,,,,,,,,,,,,me han engañado
2226,,,se trata,,,,,,,,,,,,,me han engañado
2227,,,se trata,,,,,,,,,,,,,me han engañado
2228,,,se trata,,,,,,,,,,,,,me han escarnecido
2229,,,se trate,,,,,,,,,,,,,me han hecho
2230,,,se turbó,,,,,,,,,,,,,me han hecho
2231,,,se unen,,,,,,,,,,,,,me han pescado
2232,,,se usa,,,,,,,,,,,,,me han puesto
2233,,,se va,,,,,,,,,,,,,me han salido
2234,,,se va,,,,,,,,,,,,,me has enseñado
2235,,,se va a acabar,,,,,,,,,,,,,me has oído
2236,,,se va a acabar,,,,,,,,,,,,,me he criado
2237,,,se ve,,,,,,,,,,,,,me he dado
2238,,,se ve,,,,,,,,,,,,,me he enamorado
2239,,,se ve,,,,,,,,,,,,,me he enamorado
2240,,,se ve,,,,,,,,,,,,,me he enamorado
2241,,,se ve,,,,,,,,,,,,,me he encontrado
2242,,,se vuelve,,,,,,,,,,,,,me he encontrado
2262,,,se veía,,,,,,,,,,,,,me he forjado
2243,,,se ven,,,,,,,,,,,,,me he muerto
2244,,,se ven,,,,,,,,,,,,,me he quedado
2245,,,se vería,,,,,,,,,,,,,me la ha de pagar
2246,,,se vieron,,,,,,,,,,,,,me la ha de pagar
2247,,,se viniese,,,,,,,,,,,,,me lo ha dado
2248,,,se vino,,,,,,,,,,,,,me lo ha dicho
2249,,,se viste,,,,,,,,,,,,,me lo has oído
2250,,,se viste,,,,,,,,,,,,,no lo ha hecho
2251,,,se vistió,,,,,,,,,,,,,nos ha contagiado
2252,,,se vistió,,,,,,,,,,,,,nos ha contagiado
2253,,,se vistió,,,,,,,,,,,,,nos ha contagiado
2254,,,se vive,,,,,,,,,,,,,nos ha hecho
2255,,,se vive,,,,,,,,,,,,,nos ha mostrado
2256,,,se volverá,,,,,,,,,,,,,nos ha traído
2257,,,se volvió,,,,,,,,,,,,,nos han arrebatado
2258,,,se volvió,,,,,,,,,,,,,nos han hecho
2259,,,se volvió,,,,,,,,,,,,,nos han juntado
2260,,,se volvió,,,,,,,,,,,,,nos han pervertido
2261,,,se vuelven,,,,,,,,,,,,,nos hemos
2263,,,se vuelven,,,,,,,,,,,,,nos hemos puesto
2264,,,se verá,,,,,,,,,,,,,nos lo ha pagado
2265,,,siguió,,,,,,,,,,,,,se ha burlado
2266,,,te abrace,,,,,,,,,,,,,se ha calmado
2267,,,te absorberá,,,,,,,,,,,,,se ha casado
2268,,,te aconsejaría,,,,,,,,,,,,,se ha casado
2269,,,te acuerdas,,,,,,,,,,,,,se ha convertido
2270,,,te acuerdas,,,,,,,,,,,,,se ha convertido
2271,,,te acuestes,,,,,,,,,,,,,se ha dado
2272,,,te aseguro,,,,,,,,,,,,,se ha de casar
2273,,,te aseguro,,,,,,,,,,,,,se ha de hacer
2274,,,te asustas,,,,,,,,,,,,,se ha de llamar
2275,,,te atreves,,,,,,,,,,,,,se ha desfigurado
2276,,,te casaras,,,,,,,,,,,,,se ha dicho
2277,,,te casases,,,,,,,,,,,,,se ha dignado
2278,,,te casaste,,,,,,,,,,,,,se ha empeñado
2279,,,te cases,,,,,,,,,,,,,se ha hecho
2280,,,te como,,,,,,,,,,,,,se ha hecho
2281,,,te conmueve,,,,,,,,,,,,,se ha hecho
2282,,,te creerás,,,,,,,,,,,,,se ha indignado
2283,,,te crees,,,,,,,,,,,,,se ha inventado
2284,,,te crees,,,,,,,,,,,,,se ha limitado
2285,,,te da,,,,,,,,,,,,,se ha muerto
2286,,,te das prisa,,,,,,,,,,,,,se ha muerto
2287,,,te decía,,,,,,,,,,,,,se ha pasado
2288,,,te decidas,,,,,,,,,,,,,se ha percatado
2289,,,te decides,,,,,,,,,,,,,se ha sentido
2290,,,te deja,,,,,,,,,,,,,se ha vuelto
2291,,,te dejo,,,,,,,,,,,,,se ha vuelto
2292,,,te di,,,,,,,,,,,,,se ha vuelto
2293,,,te diga,,,,,,,,,,,,,se ha vuelto
2294,,,te digo,,,,,,,,,,,,,se ha vuelto 
2295,,,te digo,,,,,,,,,,,,,se han burlado
2296,,,te digo,,,,,,,,,,,,,se han creído
2297,,,te digo,,,,,,,,,,,,,se han perdido
2298,,,te digo,,,,,,,,,,,,,se hubiese
2299,,,te digo,,,,,,,,,,,,,se hubiese
2300,,,te digo,,,,,,,,,,,,,se hubiesen
2301,,,te dije,,,,,,,,,,,,,se la he concedido
2302,,,te dije,,,,,,,,,,,,,se le ha metido
2303,,,te dije,,,,,,,,,,,,,se le he regalado
2304,,,te duermas,,,,,,,,,,,,,se lo han dicho
2305,,,te echa,,,,,,,,,,,,,se lo has oído
2306,,,te echan,,,,,,,,,,,,,se me ha muerto
2307,,,te echará,,,,,,,,,,,,,se me ha ocurrido
2308,,,te echo,,,,,,,,,,,,,se me ha ocurrido
2309,,,te echo,,,,,,,,,,,,,se me han abierto
2310,,,te empeñas,,,,,,,,,,,,,se nos han presentado
2311,,,te enamoras,,,,,,,,,,,,,se te ha dirigido
2312,,,te enamoraste,,,,,,,,,,,,,se te ha ido
2313,,,te encuentres,,,,,,,,,,,,,se te ha ocurrido
2314,,,te enfades,,,,,,,,,,,,,se te ha pasado
2315,,,te entiendo,,,,,,,,,,,,,te ha dado
2316,,,te entiendo,,,,,,,,,,,,,te ha dicho
2317,,,te entiendo,,,,,,,,,,,,,te ha hablado
2318,,,te entiendo,,,,,,,,,,,,,te ha hecho
2319,,,te entiendo,,,,,,,,,,,,,te ha hecho
2320,,,te entró,,,,,,,,,,,,,te ha iluminado
2321,,,te eqivocas,,,,,,,,,,,,,te ha ocurrido
2322,,,te equivocas,,,,,,,,,,,,,te ha pasado
2323,,,te esperaba,,,,,,,,,,,,,te ha tomado
2324,,,te estoy,,,,,,,,,,,,,te has encontrado
2325,,,te explicas,,,,,,,,,,,,,te has hecho te has hecho
2326,,,te figuras,,,,,,,,,,,,,te has metido
2327,,,te figuras,,,,,,,,,,,,,te he dicho
2328,,,te gusta,,,,,,,,,,,,,te he dicho
2329,,,te ha dado,,,,,,,,,,,,,te he dicho
2330,,,te ha dicho,,,,,,,,,,,,,te he dicho
2331,,,te ha hablado,,,,,,,,,,,,,te he dicho
2332,,,te ha hecho,,,,,,,,,,,,,te he dicho
2333,,,te ha hecho,,,,,,,,,,,,,te he hecho
2334,,,te ha iluminado,,,,,,,,,,,,,te he mirado
2335,,,te ha ocurrido,,,,,,,,,,,,,te he oído
2336,,,te ha pasado,,,,,,,,,,,,,te he visto
2337,,,te ha tomado,,,,,,,,,,,,,te lo he dicho
2338,,,te había visto,,,,,,,,,,,,,te lo he dicho
2339,,,te habla,,,,,,,,,,,,,te me han cambiado
2340,,,te hable,,,,,,,,,,,,,te me has venido
2341,,,te hablé,,,,,,,,,,,,,le llevara 
2342,,,te hablo,,,,,,,,,,,,,las hallase
2343,,,te hace,,,,,,,,,,,,,le arrastraran
2344,,,te has encontrado,,,,,,,,,,,,,le ayudase
2345,,,te has hecho te has hecho,,,,,,,,,,,,,le cortasen
2346,,,te has metido,,,,,,,,,,,,,le dijera
2347,,,te he dicho,,,,,,,,,,,,,le dijera
2348,,,te he dicho,,,,,,,,,,,,,le dijera
2349,,,te he dicho,,,,,,,,,,,,,le dijera
2350,,,te he dicho,,,,,,,,,,,,,le dijera
